자치구,행정동,기초생활수급가구비율,기초생활수급인원비율
종로구,사직동,0.022093693626676087,0.013402747009304387
종로구,삼청동,0.024041011136644863,0.01770890979524073
종로구,부암동,0.024145336351500377,0.014277035236938032
종로구,평창동,0.01241388418110184,0.0066985387461848045
종로구,무악동,0.033543673198273,0.017024978252765006
종로구,교남동,0.028991387418623095,0.016605256693687055
종로구,가회동,0.021739130434782608,0.014028524666822539
종로구,종로1.2.3.4가동,0.11770043019163083,0.09494844596098212
종로구,종로5·6가동,0.0543945183818685,0.04257835600236547
종로구,이화동,0.03338464677189013,0.024185336048879836
종로구,창신1동,0.1098913223368456,0.07109375
종로구,창신2동,0.06626696118649417,0.04209681119522826
종로구,창신3동,0.041031585047812236,0.026050420168067228
종로구,숭인1동,0.05775008345387783,0.03933074300214099
종로구,숭인2동,0.05996208280058198,0.03996958835668513
종로구,청운효자동,0.023991510696215187,0.013626752290704048
종로구,혜화동,0.019170379025779595,0.014550658954022303
중구,소공동,0.02245789145352464,0.01241914618369987
중구,회현동,0.15237900963843137,0.11085156084094287
중구,명동,0.036792452830188685,0.020018885741265344
중구,필동,0.029121929695543468,0.01995798319327731
중구,장충동,0.025271892877349596,0.017370535229616763
중구,광희동,0.03920669494439987,0.031141868512110725
중구,을지로동,0.06733167082294264,0.05716207128446537
중구,신당5동,0.05454443426048896,0.03290297978972599
중구,황학동,0.048277478322006094,0.03168234064785789
중구,중림동,0.07218920986056361,0.04283005860048259
중구,신당동,0.0477168648587528,0.03341953451362642
중구,다산동,0.036717663421418634,0.02475642314760237
중구,약수동,0.06535528929326584,0.03918776521516248
중구,청구동,0.06489751665031752,0.03764559068219634
중구,동화동,0.023776972002615467,0.013692335967653005
용산구,후암동,0.05968924069187921,0.0395711222301644
용산구,용산2가동,0.049286133385487985,0.03904784804039432
용산구,남영동,0.20802031854832542,0.16061290101922157
용산구,원효로2동,0.04295012644583558,0.02379809340923119
용산구,효창동,0.02077968208862446,0.012464526181069501
용산구,용문동,0.0401387977117134,0.02396761133603239
용산구,이촌1동,0.003450627274743873,0.0017195940262798826
용산구,이촌2동,0.018402125315881552,0.010646129452403874
용산구,이태원1동,0.02999676758969938,0.023811388736586513
용산구,이태원2동,0.025953398780055082,0.01945724526369688
용산구,서빙고동,0.030247995991983967,0.0180604037031416
용산구,보광동,0.06997945557267592,0.051026413265482747
용산구,청파동,0.05144704651473793,0.037585740877680594
용산구,원효로1동,0.026000811076994385,0.01648595957177549
용산구,한강로동,0.02999437605448978,0.021434562455344662
용산구,한남동,0.03438343011293494,0.0244447911790711
성동구,왕십리2동,0.038446918273146884,0.023563218390804597
성동구,마장동,0.03987467957846767,0.02740199680165968
성동구,사근동,0.017409236967051944,0.014442364268520995
성동구,행당1동,0.03828250102409414,0.023715681320532256
성동구,행당2동,0.04379485014774166,0.02453320442322799
성동구,응봉동,0.018768046198267566,0.009972913075597143
성동구,금호1가동,0.06517039844146139,0.03887959866220736
성동구,금호4가동,0.03755721607135871,0.022754532058531236
성동구,성수1가1동,0.037209302325581395,0.024185718068673315
성동구,성수1가2동,0.024304840370751802,0.0165208624670721
성동구,성수2가1동,0.051493665000581196,0.03343908085398268
성동구,성수2가3동,0.02725301951068442,0.015774399647499448
성동구,송정동,0.06950404075629615,0.04768318965517242
성동구,용답동,0.07376820143438169,0.05140344944200203
성동구,왕십리도선동,0.048314696081478634,0.026461354462550456
성동구,금호2.3가동,0.043809092086517294,0.027755683007493617
성동구,옥수동,0.024196493791088385,0.015482319341625644
광진구,화양동,0.017541650470022065,0.01595580005239218
광진구,군자동,0.04485475373386824,0.030893319129508445
광진구,중곡1동,0.05821072539026188,0.04197499362082164
광진구,중곡2동,0.042863084413201434,0.02949625641837635
광진구,중곡3동,0.0654718288939499,0.047804175665946726
광진구,중곡4동,0.05633588945410371,0.035160526100808755
광진구,능동,0.023882224645583428,0.017881523893415546
광진구,구의1동,0.03403122422699057,0.02451948985090713
광진구,구의2동,0.04584951007579959,0.02779899190468917
광진구,구의3동,0.019956156927961294,0.012338435231597123
광진구,광장동,0.011281022812735022,0.00537462231442933
광진구,자양1동,0.052885568850399946,0.037904953438552005
광진구,자양2동,0.03658157602663707,0.0227837227108895
광진구,자양3동,0.018008099119955955,0.0090633423180593
광진구,자양4동,0.054742481431876294,0.03499069931124629
동대문구,회기동,0.028261332198340074,0.021052631578947368
동대문구,휘경1동,0.04799008107746728,0.03400054839594187
동대문구,휘경2동,0.03199448784104612,0.02079445481205012
동대문구,청량리동,0.10779723852753155,0.06390488575143972
동대문구,용신동,0.060388341610355764,0.039468011011243406
동대문구,제기동,0.07239274240510883,0.046052097703481294
동대문구,전농1동,0.0818367012433559,0.050513728050582456
동대문구,전농2동,0.05717766850876812,0.03239358202156198
동대문구,답십리1동,0.039919575945896554,0.02447273418202546
동대문구,답십리2동,0.06246616416107942,0.036095789988130976
동대문구,장안1동,0.04459836628527172,0.02765061584270105
동대문구,장안2동,0.04987643226241295,0.028567714257856935
동대문구,이문1동,0.04329860077403989,0.03379397743045079
동대문구,이문2동,0.06383468159337499,0.03718950273658605
중랑구,면목2동,0.06542637141900619,0.04205463639861485
중랑구,면목4동,0.0846519891986032,0.05766327616502091
중랑구,면목5동,0.07429740497469581,0.051436911772107304
중랑구,면목7동,0.051177140217445106,0.03184334538134236
중랑구,상봉1동,0.07992294203363877,0.047972879752448905
중랑구,상봉2동,0.04817866254025344,0.03515507170866811
중랑구,중화1동,0.050120955548835805,0.03037778745223238
중랑구,중화2동,0.08662944186155178,0.05772162927466783
중랑구,묵1동,0.03295940788712849,0.019607293913335763
중랑구,묵2동,0.05448677036415689,0.03421852624174057
중랑구,망우3동,0.10909090909090909,0.07333983015453154
중랑구,신내1동,0.04575609364517812,0.02651510531643717
중랑구,신내2동,0.08564287697861706,0.048613275163602365
중랑구,면목본동,0.06468508076077607,0.04371275285590929
중랑구,면목3.8동,0.06668477072970412,0.04309662836692409
중랑구,망우본동,0.07397862158618068,0.046497458673379406
성북구,돈암1동,0.05242498141651779,0.027989665354330708
성북구,돈암2동,0.0267676322972616,0.012366746301017847
성북구,안암동,0.02886184681460272,0.02257880808013132
성북구,보문동,0.03604054561381554,0.02227279623729328
성북구,정릉1동,0.03427027539460587,0.018549040422381764
성북구,정릉2동,0.048483380340179606,0.029530370494833234
성북구,정릉3동,0.06049199273567773,0.04012029690299462
성북구,정릉4동,0.04756296430512774,0.029485511754614183
성북구,길음1동,0.028315860344330094,0.014370677359455313
성북구,길음2동,0.0497394836282523,0.02574360758392764
성북구,월곡1동,0.05100046533271289,0.028157152795576873
성북구,월곡2동,0.05139210481730389,0.02952122309394488
성북구,장위1동,0.08775157495679323,0.062167649618099195
성북구,장위2동,0.07153358448957091,0.04820099255583127
성북구,장위3동,0.07345894790689744,0.04933437744714174
성북구,성북동,0.03019966722129784,0.019021819145490417
성북구,삼선동,0.0457633840052875,0.03132636764224826
성북구,동선동,0.031156809437352426,0.02211028978870936
성북구,종암동,0.04655605684306435,0.02673770288687895
성북구,석관동,0.058106777992736655,0.03598323818778088
강북구,번1동,0.061602559333382934,0.04182747470533014
강북구,번2동,0.11895499955795241,0.07893373251194657
강북구,번3동,0.18825897643480732,0.12462892281594572
강북구,수유1동,0.07834740504635149,0.05380897583429229
강북구,수유2동,0.07471626733921816,0.04564390508965767
강북구,수유3동,0.05900058564754915,0.038790058441975465
강북구,삼양동,0.08284717300038164,0.05389609188599331
강북구,미아동,0.05863104576628267,0.03833993854922741
강북구,송중동,0.05784607536823313,0.034659328410199246
강북구,송천동,0.07375992933760052,0.046204389766531524
강북구,삼각산동,0.06737886944818304,0.03345612657769189
강북구,우이동,0.059777952463809084,0.03935599284436494
강북구,인수동,0.07861069901387556,0.052857716917560506
도봉구,쌍문1동,0.07105263157894737,0.04345531719628312
도봉구,쌍문2동,0.06485169573456051,0.04079297564858344
도봉구,쌍문3동,0.04961165895802427,0.030958115490806556
도봉구,쌍문4동,0.02214895988112927,0.012221889653796269
도봉구,방학1동,0.06739888194672804,0.04201834556926202
도봉구,방학2동,0.127035490605428,0.08868215604693563
도봉구,방학3동,0.02286108442342276,0.011605614515576857
도봉구,창1동,0.02825968941867311,0.01558148287542341
도봉구,창2동,0.05228423661243402,0.03288519199148854
도봉구,창3동,0.09783913565426171,0.06379339258762368
도봉구,창4동,0.019122449945567284,0.010123813891142544
도봉구,창5동,0.03275732785131139,0.017640573318632856
도봉구,도봉1동,0.08160027200090667,0.05185629540758515
도봉구,도봉2동,0.05270609034343212,0.02925755033557047
노원구,월계1동,0.048641920142989375,0.029828358368868792
노원구,월계2동,0.1775455373069151,0.10860154338415208
노원구,월계3동,0.09301372144568433,0.05215381058796332
노원구,공릉2동,0.02999922362257706,0.017818680242803996
노원구,하계1동,0.14607747395833334,0.08999759640146963
노원구,하계2동,0.07280201961743019,0.04235993386492539
노원구,중계본동,0.03178492918663736,0.017459103542183507
노원구,중계1동,0.0420368917513547,0.021047427340466857
노원구,중계4동,0.13586602757559618,0.07370678720509213
노원구,상계1동,0.052153097321594816,0.029491275497665274
노원구,상계2동,0.06355798999761848,0.03651191675845422
노원구,상계5동,0.07823843882014282,0.05166998621112303
노원구,상계8동,0.015704412832441443,0.00918848593267198
노원구,상계9동,0.02359085707579003,0.015341951066779979
노원구,상계10동,0.026827531941998575,0.01730276903157461
노원구,상계3.4동,0.12407369685390578,0.07618759684063338
노원구,상계6.7동,0.030987917555081734,0.022182509289989504
노원구,중계2.3동,0.16495421521000814,0.10890066225165564
노원구,공릉1동,0.07283069373187598,0.04753048150444307
은평구,녹번동,0.04966998545698623,0.030590989949977953
은평구,불광1동,0.05381469786877608,0.03258292390799541
은평구,갈현1동,0.08686148871189893,0.06185149976739953
은평구,갈현2동,0.05944277399611983,0.039151006264161
은평구,구산동,0.05819105145706677,0.03327088117974133
은평구,대조동,0.06520771041414848,0.046144467197098776
은평구,응암1동,0.04745299956968826,0.030746332961243954
은평구,응암2동,0.055975839488084204,0.03293616196842003
은평구,신사1동,0.04590941011235955,0.02812214887565073
은평구,신사2동,0.06775988394513102,0.04708262448848223
은평구,증산동,0.049776367046602224,0.032523329945486464
은평구,수색동,0.0738927922949396,0.04449161190252664
은평구,진관동,0.028425128012988635,0.01720140738787719
은평구,불광2동,0.08878299120234603,0.059291297018407206
은평구,응암3동,0.07764100088502696,0.0558526671982264
은평구,역촌동,0.052153603518642636,0.032809701683467224
서대문구,천연동,0.06021333066252692,0.03119340451412353
서대문구,홍제1동,0.0388589534893843,0.022021542813622022
서대문구,홍제3동,0.05508702254409531,0.03089913421237801
서대문구,홍제2동,0.04588582761425087,0.023298841910505037
서대문구,홍은1동,0.05363002461033634,0.03043232182506857
서대문구,홍은2동,0.049345196441067676,0.03228652081863091
서대문구,남가좌1동,0.025483292002904542,0.012454056681145773
서대문구,남가좌2동,0.060517182382558536,0.036623960538664686
서대문구,북가좌1동,0.031045286243235545,0.017347685233566727
서대문구,북가좌2동,0.05010863661053775,0.033182951442478924
서대문구,충현동,0.03964107223989096,0.026213898528694754
서대문구,북아현동,0.040632651710674345,0.023274312818548745
서대문구,신촌동,0.03796447023851653,0.027695351137487636
서대문구,연희동,0.02677982083922678,0.01857012738074199
마포구,용강동,0.02381627445421038,0.013393781787218374
마포구,대흥동,0.0392479790306306,0.0293923527082325
마포구,신수동,0.021435566355953718,0.013302183655954992
마포구,서교동,0.015732852806829546,0.01218341886760963
마포구,합정동,0.03137105039170387,0.021391815071261148
마포구,망원1동,0.040384475703944024,0.028039368406146004
마포구,망원2동,0.032018829831485185,0.02048503611971104
마포구,연남동,0.01795174753211114,0.012342616138435776
마포구,성산1동,0.03441076053157456,0.02353298413421392
마포구,성산2동,0.06389005749544244,0.04393918776828016
마포구,상암동,0.03318943324488099,0.022455342743483802
마포구,도화동,0.03251525775873263,0.017971236990043573
마포구,서강동,0.013723716115956719,0.008283591180411743
마포구,공덕동,0.033896924017111425,0.02137630728760966
마포구,아현동,0.02651610544701247,0.015822459673276484
양천구,목1동,0.013302294645826405,0.005905664775817857
양천구,목2동,0.03153059635646443,0.01937201321402226
양천구,목3동,0.05004214075010535,0.030988199261327808
