자치구,행정동,전체세대수,1인세대비율,2인세대비율,3인세대비율,4인세대비율,5인세대비율,6인세대비율,7인세대비율,8인세대비율,9인세대비율,10세대이상비율,전체인구수,미성년비율,청년비율,장년비율,중년비율,노년비율,인구밀도,전입수,전출수,전입비율,전출비율,전체독거노인비율,국민기초생활보장수급권자비율,저소득노인비율,일반독거노인비율,전체장애인비율,지체장애인비율,뇌병변장애인비율,시각장애인비율,청각장애인비율,언어장애인비율,지적장애인비율,자폐성장애인비율,정신장애인비율,신장장애인비율,심장장애인비율,호흡기장애인비율,간장애인비율,안면장애인비율,장루요루장애인비율,뇌전증장애인비율,혼인,이혼,가스사용량,가스사용비율,화재발생수,lat,lng
강남구,개포1동,5313.25,0.31015229222541135,0.2216941921924748,0.19347856773161437,0.2119857588732571,0.0505183581925689,0.008406656315186875,0.0026349221286406624,0.0006900986527392211,0.0004391536881067771,0.0,13588.0,0.14417132764203708,0.2221445392993818,0.20050780100088314,0.278591404180159,0.154584927877539,6142,961,13256,0.07072416838386812,0.9755666764792464,0.04378863703267589,0.005961142184280247,0.002428613482484545,0.0353988813659111,0.019649690903738592,0.008536944362672947,0.002502207830438622,0.0015454813070356196,0.0027229908743008537,0.00014718869590815426,0.0013982926111274655,0.00044156608772446274,0.0007359434795407713,0.0007359434795407713,0.0,0.00014718869590815426,0.00029437739181630853,0.0,0.00036797173977038566,7.359434795407713e-05,79,30,2604.0,0.4900955159271632,8.0,37.4789643,127.0609282
강남구,개포2동,4968.916666666667,0.23395441662334177,0.1760276384859208,0.22283529273651198,0.2971808073523739,0.05640062387844433,0.010800476294296207,0.001861572777433042,0.0007379207406040887,0.00020125111107384237,0.0,13837.5,0.19483288166214996,0.2010840108401084,0.22500451671183377,0.25925925925925924,0.1198193315266486,5520,1889,2728,0.13651309846431797,0.19714543812104787,0.02160794941282746,0.0014453477868112015,0.00043360433604336043,0.0197289972899729,0.022547425474254743,0.01076784101174345,0.0026016260162601626,0.0023848238482384824,0.003035230352303523,7.226738934056007e-05,0.001156278229448961,0.0007949412827461608,0.00021680216802168022,0.0008672086720867209,0.00021680216802168022,7.226738934056007e-05,0.0003613369467028004,0.0,0.0,0.0,47,12,4140.0,0.8331795998457074,3.0,37.4896011,127.0687685
강남구,개포4동,7827.166666666667,0.37843621574430936,0.19045844601068926,0.1833358175585035,0.18808423652662734,0.04795264357047037,0.008240529778762004,0.0022890360496561125,0.0006600941166450185,3.1940037902178306e-05,0.0005110406064348529,18152.5,0.17055501996970115,0.23101501170637653,0.25866960473763945,0.23269522104393334,0.10706514254234954,12698,3147,2833,0.1733645503374191,0.15606665748519488,0.020658311527337832,0.004517284120644539,0.0009915989533122158,0.015149428453381077,0.028646191984575128,0.011568654455309186,0.003305329844374053,0.003305329844374053,0.0031400633521553507,0.0003305329844374053,0.0022586420603222697,0.0012119542762704862,0.0011568654455309186,0.0015424872607078914,0.00016526649221870266,0.0002754441536978378,0.00011017766147913511,0.0,0.00016526649221870266,0.00011017766147913511,91,27,6642.0,0.8485829269850733,13.0,37.4788251,127.0515205
강남구,논현1동,14114.416666666666,0.6455987672179155,0.1709835688096686,0.09336789216699237,0.0636878369043472,0.018509443653947206,0.005166112662584947,0.0016708684382989024,0.0005786046182095139,0.00027749405159027706,0.00015941147644547832,22598.5,0.08403212602606368,0.34391663163484304,0.2844436577648959,0.1738832223377658,0.11372436223643162,19249,5501,5730,0.2434232360554904,0.25355665199017635,0.022523618824258247,0.0026992942009425405,0.0004867579706617696,0.01933756665265394,0.026992942009425404,0.011372436223643163,0.003097550722393079,0.003849813040688541,0.0026992942009425405,8.850144921123083e-05,0.0020797840564639246,0.00039825652145053877,0.0007522623182954621,0.0016815275350133857,0.00013275217381684626,8.850144921123083e-05,0.00035400579684492333,0.0,0.0003097550722393079,8.850144921123083e-05,166,54,15780.0,1.1180058214709547,37.0,37.5115147,127.0283828
강남구,논현2동,11218.333333333334,0.520353587876987,0.188315257762591,0.14352250779973258,0.11132075471698112,0.027031644629326994,0.00687862130441242,0.00170108453424454,0.0007056900906254643,0.00017085128509879662,0.0,21399.5,0.1314983994953153,0.2731839528960957,0.2864552910114722,0.18292483469239937,0.1259375219047174,15173,4607,4952,0.21528540386457629,0.23140727587093157,0.020327577747143624,0.002476693380686465,0.0005607607654384448,0.017290123601018715,0.024439823360358888,0.010467534288184303,0.0025234234444730017,0.0030374541461249097,0.0036916750391364286,0.00018692025514614827,0.0012617117222365009,0.0004205705740788336,0.0005607607654384448,0.0014486319773826491,9.346012757307414e-05,0.0001401901913596112,0.0004673006378653707,0.0,0.0001401901913596112,0.0,116,41,12592.0,1.1224483731986332,30.0,37.5135304,127.0315341
강남구,대치1동,7431.25,0.07707317073170732,0.12093075413512755,0.2590412111017662,0.42643117465657415,0.09188673955705075,0.017089991589571068,0.00511354079058032,0.0013680964395850854,0.000863470703672554,0.00020185029436501262,25050.0,0.3047105788423154,0.13670658682634731,0.2930538922155689,0.1849500998003992,0.08057884231536926,32392,3686,3399,0.14714570858283432,0.135688622754491,0.006626746506986028,3.9920159680638724e-05,,0.006586826347305389,0.01093812375249501,0.003912175648702595,0.0012375249500998003,0.0011976047904191617,0.0013572854291417165,0.0,0.0006786427145708582,0.0007984031936127744,0.0001996007984031936,0.0007984031936127744,0.0,7.984031936127745e-05,0.0003992015968063872,3.9920159680638724e-05,0.0001996007984031936,3.9920159680638724e-05,37,12,6675.0,0.8982338099243061,8.0,37.4932114,127.0567416
강남구,대치2동,13546.166666666666,0.18219176396766615,0.15196796141589874,0.2402893807596245,0.3413265745536868,0.06725764976561635,0.012094442462197178,0.003851027966091268,0.0006336355918648573,0.0003691081117659363,1.8455405588296813e-05,40176.0,0.22759856630824374,0.1922167463162087,0.24481033452807646,0.23669603743528475,0.09867831541218638,20082,5892,7335,0.14665471923536438,0.18257168458781362,0.011997212266029471,0.0004978096375945838,0.00034846674631620867,0.011150935882118677,0.01595479888490641,0.006571087216248507,0.0021405814416567107,0.0015432098765432098,0.0017174432497013142,0.0002986857825567503,0.0011200716845878136,0.0009458383114297092,0.0002986857825567503,0.0007964954201513341,7.467144563918757e-05,0.00014934289127837514,0.00022401433691756272,0.0,4.978096375945838e-05,2.489048187972919e-05,75,36,11877.0,0.876779408688805,13.0,37.4994914,127.0610527
강남구,대치4동,10147.583333333334,0.5093166681722249,0.1634461407067364,0.1391135820515558,0.14537944173900189,0.03255290668549983,0.008113590263691683,0.0017163364019347792,0.00022172766914946908,9.033349483867258e-05,4.9272815366548685e-05,20444.0,0.17887888867149285,0.25665231852866366,0.2961504597926042,0.18296321659166503,0.08535511641557425,29130,5330,5309,0.2607121893954216,0.25968499315202503,0.016141655253375072,0.0020054783799647816,0.0005869692819409117,0.01354920759146938,0.018196047740168263,0.009000195656427314,0.0019076501663079632,0.0015163373116806886,0.0018587360594795538,0.00014674232048522793,0.0011250244570534143,0.00044022696145568384,0.0004891410682840931,0.0013695949911954608,9.782821365681862e-05,0.0,4.891410682840931e-05,0.0,0.00019565642731363725,0.0,110,27,9128.0,0.8995245173317128,20.0,37.4994914,127.0610527
강남구,도곡1동,8521.916666666666,0.28933240761565765,0.17700439063982087,0.21225663240859355,0.24963085377898167,0.054438066553885577,0.012135376431358362,0.0034127690366994906,0.00119300235666859,0.00044982056071110767,0.0001466806176231873,22339.0,0.1959353596848561,0.22051121357267559,0.2571959353596849,0.21695241505886567,0.10940507632391781,22396,3421,3552,0.15314024799677695,0.1590044317113568,0.015667666412999687,0.0009400599847799812,0.00017905904471999642,0.01454854738349971,0.019696494919199607,0.007654774161779847,0.002954474237879941,0.0019248847307399616,0.00250682662607995,0.00017905904471999642,0.001701060924839966,0.0006267066565199874,0.0004924123729799901,0.0011638837906799767,0.0,0.0001342942835399973,0.0001342942835399973,4.4764761179999104e-05,0.0001342942835399973,4.4764761179999104e-05,128,25,7888.0,0.925613369449361,14.0,37.4908234,127.0382995
강남구,도곡2동,11969.5,0.1899619867162371,0.18982970605845412,0.24975284403414233,0.29619727919573363,0.05947059888327277,0.011118537393653314,0.0028962501914588466,0.00043861481264881574,0.00016012921731623433,0.0001740534970828634,34129.0,0.2323390664830496,0.17940754197310205,0.26158106009551996,0.21147704298397257,0.11519528846435582,34024,4568,4833,0.13384511705587623,0.14160977467842598,0.014855401564651762,0.00011720237920829793,0.00011720237920829793,0.014620996806235166,0.014034984910193678,0.006153124908435641,0.002021741041343139,0.0014357291453016496,0.001582232119312022,5.860118960414897e-05,0.0005567113012394151,0.0005567113012394151,0.0002930059480207448,0.0008790178440622344,2.9300594802074484e-05,8.790178440622344e-05,0.00020510416361452138,0.0,0.0001758035688124469,0.0,102,30,11075.0,0.9252683904925018,10.0,37.4824625,127.0430492
