자치구,행정동,전체장애인비율,지체장애인비율,뇌병변장애인비율,시각장애인비율,청각장애인비율,언어장애인비율,지적장애인비율,자폐성장애인비율,정신장애인비율,신장장애인비율,심장장애인비율,호흡기장애인비율,간장애인비율,안면장애인비율,장루요루장애인비율,뇌전증장애인비율
강남구,개포1동,0.019649690903738592,0.008536944362672947,0.002502207830438622,0.0015454813070356196,0.0027229908743008537,0.00014718869590815426,0.0013982926111274655,0.00044156608772446274,0.0007359434795407713,0.0007359434795407713,0.0,0.00014718869590815426,0.00029437739181630853,0.0,0.00036797173977038566,7.359434795407713e-05
강남구,개포2동,0.022547425474254743,0.01076784101174345,0.0026016260162601626,0.0023848238482384824,0.003035230352303523,7.226738934056007e-05,0.001156278229448961,0.0007949412827461608,0.00021680216802168022,0.0008672086720867209,0.00021680216802168022,7.226738934056007e-05,0.0003613369467028004,0.0,0.0,0.0
강남구,개포4동,0.028646191984575128,0.011568654455309186,0.003305329844374053,0.003305329844374053,0.0031400633521553507,0.0003305329844374053,0.0022586420603222697,0.0012119542762704862,0.0011568654455309186,0.0015424872607078914,0.00016526649221870266,0.0002754441536978378,0.00011017766147913511,0.0,0.00016526649221870266,0.00011017766147913511
강남구,논현1동,0.026992942009425404,0.011372436223643163,0.003097550722393079,0.003849813040688541,0.0026992942009425405,8.850144921123083e-05,0.0020797840564639246,0.00039825652145053877,0.0007522623182954621,0.0016815275350133857,0.00013275217381684626,8.850144921123083e-05,0.00035400579684492333,0.0,0.0003097550722393079,8.850144921123083e-05
강남구,논현2동,0.024439823360358888,0.010467534288184303,0.0025234234444730017,0.0030374541461249097,0.0036916750391364286,0.00018692025514614827,0.0012617117222365009,0.0004205705740788336,0.0005607607654384448,0.0014486319773826491,9.346012757307414e-05,0.0001401901913596112,0.0004673006378653707,0.0,0.0001401901913596112,0.0
강남구,대치1동,0.01093812375249501,0.003912175648702595,0.0012375249500998003,0.0011976047904191617,0.0013572854291417165,0.0,0.0006786427145708582,0.0007984031936127744,0.0001996007984031936,0.0007984031936127744,0.0,7.984031936127745e-05,0.0003992015968063872,3.9920159680638724e-05,0.0001996007984031936,3.9920159680638724e-05
강남구,대치2동,0.01595479888490641,0.006571087216248507,0.0021405814416567107,0.0015432098765432098,0.0017174432497013142,0.0002986857825567503,0.0011200716845878136,0.0009458383114297092,0.0002986857825567503,0.0007964954201513341,7.467144563918757e-05,0.00014934289127837514,0.00022401433691756272,0.0,4.978096375945838e-05,2.489048187972919e-05
강남구,대치4동,0.018196047740168263,0.009000195656427314,0.0019076501663079632,0.0015163373116806886,0.0018587360594795538,0.00014674232048522793,0.0011250244570534143,0.00044022696145568384,0.0004891410682840931,0.0013695949911954608,9.782821365681862e-05,0.0,4.891410682840931e-05,0.0,0.00019565642731363725,0.0
강남구,도곡1동,0.019696494919199607,0.007654774161779847,0.002954474237879941,0.0019248847307399616,0.00250682662607995,0.00017905904471999642,0.001701060924839966,0.0006267066565199874,0.0004924123729799901,0.0011638837906799767,0.0,0.0001342942835399973,0.0001342942835399973,4.4764761179999104e-05,0.0001342942835399973,4.4764761179999104e-05
강남구,도곡2동,0.014034984910193678,0.006153124908435641,0.002021741041343139,0.0014357291453016496,0.001582232119312022,5.860118960414897e-05,0.0005567113012394151,0.0005567113012394151,0.0002930059480207448,0.0008790178440622344,2.9300594802074484e-05,8.790178440622344e-05,0.00020510416361452138,0.0,0.0001758035688124469,0.0
강남구,삼성1동,0.020130989314029644,0.009031368493622889,0.002688728024819028,0.001792485349879352,0.002344019303688383,0.0003447087211306446,0.0011030679076180626,0.0009651844191658049,0.0004136504653567735,0.0011030679076180626,0.0,6.894174422612891e-05,0.00013788348845225783,6.894174422612891e-05,6.894174422612891e-05,0.0
강남구,삼성2동,0.019150951519848445,0.007784379574614656,0.0025144234909153535,0.0025144234909153535,0.002273314389046758,3.4444157409799365e-05,0.0008611039352449841,0.0007233273056057866,0.0007922156204253853,0.0007922156204253853,0.00013777662963919746,6.888831481959873e-05,0.000378885731507793,0.0,0.00024110910186859555,3.4444157409799365e-05
강남구,세곡동,0.044413663680436095,0.0194365630794665,0.005361810504680414,0.0044458345434641765,0.004959674716829383,0.00044681754205670113,0.003105381917294073,0.0018319519224324747,0.0018319519224324747,0.0019213154308438149,0.00017872701682268045,0.00033511315654252585,0.00022340877102835057,6.702263130850517e-05,0.0001563861397198454,0.00011170438551417528
강남구,수서동,0.13336605116250536,0.05613152567327158,0.012943991166186124,0.013189374884976382,0.012943991166186124,0.000981534875161033,0.009447273173424944,0.0022084534691123245,0.014845714986810626,0.006686706337034538,0.0004907674375805166,0.0013496104533464205,6.134592969756457e-05,0.00030672964848782285,0.0005521133672780811,0.0012269185939512914
강남구,신사동,0.023682755811585347,0.011521340665095576,0.0027348636932297576,0.0018620348549649413,0.0029676180501003752,0.0,0.0008728288382648163,0.0005818858921765442,0.0002909429460882721,0.0017456576765296325,0.00017456576765296326,5.818858921765442e-05,0.00046550871374123533,0.0,0.00023275435687061767,0.00017456576765296326
강남구,압구정동,0.017661916262605777,0.00748511273759702,0.0020648586862336608,0.0018067513504544533,0.0025073284047123024,0.0001106174296196604,0.001106174296196604,0.0006637045777179624,0.0003318522888589812,0.0011430467727364909,0.0001106174296196604,3.6872476539886804e-05,0.0002581073357792076,0.0,3.6872476539886804e-05,0.0
