자치구,행정동,가스사용량,가스사용비율
종로구,교남동,4387,0.9708795160725154
종로구,무악동,2722,0.9040185984722684
종로구,부암동,1766,0.4100063845841314
종로구,사직동,4779,1.0665228468877275
종로구,삼청동,1288,0.9107300689411348
종로구,숭인1동,2624,0.875931901635696
종로구,숭인2동,6689,1.1796657995679203
종로구,이화동,4711,1.0485004729491627
종로구,종로1.2.3.4가동,3566,0.669409464215878
종로구,종로5·6가동,2913,0.9212280932929239
종로구,창신1동,2615,0.865559662382082
종로구,창신2동,4717,1.1163616282739035
종로구,창신3동,2869,0.9976238771370617
종로구,청운효자동,5186,0.9570767266967074
종로구,평창동,8665,1.1443224088217814
종로구,혜화동,11311,1.2390637552033887
중구,광희동,1687,0.580190301501777
중구,다산동,6850,0.9941343653625203
중구,동화동,3934,0.9353860785828925
중구,명동,998,0.7061320754716982
중구,소공동,1150,1.0761072988147222
중구,신당5동,4141,0.9295000093526122
중구,신당동,5940,1.3433088969715243
중구,약수동,7202,0.9229192029217659
중구,을지로동,804,0.6683291770573566
중구,장충동,3525,1.329603319293393
중구,중림동,5169,0.9123374713184679
중구,청구동,6012,0.9311786875935774
중구,필동,3157,1.3929989704368289
중구,황학동,6855,1.071010077337708
중구,회현동,2344,0.7172216839206487
중랑구,망우3동,8337,0.984297520661157
중랑구,망우본동,13732,0.9354276534267338
중랑구,면목2동,12682,1.0397709803707222
중랑구,면목3.8동,12317,0.9789705853131893
중랑구,면목4동,8900,0.9394048676652974
중랑구,면목5동,4325,0.931409497146549
중랑구,면목7동,9760,0.9661293781861977
중랑구,면목본동,17250,0.9892000382299533
중랑구,묵1동,13614,0.9446513241586678
중랑구,묵2동,9102,0.995860610149711
중랑구,상봉1동,9624,0.9507767541801477
중랑구,상봉2동,10771,1.0811091129605621
중랑구,신내1동,13398,0.9218648761775886
중랑구,신내2동,7510,0.834212718689253
중랑구,중화1동,8587,0.9737299667372241
중랑구,중화2동,14314,1.0032474359273884
