자치구,행정동,전체인구수,미성년비율,청년비율,장년비율,중년비율,노년비율
강남구,개포1동,13588.0,0.14417132764203708,0.2221445392993818,0.20050780100088314,0.278591404180159,0.154584927877539
강남구,개포2동,13837.5,0.19483288166214996,0.2010840108401084,0.22500451671183377,0.25925925925925924,0.1198193315266486
강남구,개포4동,18152.5,0.17055501996970115,0.23101501170637653,0.25866960473763945,0.23269522104393334,0.10706514254234954
강남구,논현1동,22598.5,0.08403212602606368,0.34391663163484304,0.2844436577648959,0.1738832223377658,0.11372436223643162
강남구,논현2동,21399.5,0.1314983994953153,0.2731839528960957,0.2864552910114722,0.18292483469239937,0.1259375219047174
강남구,대치1동,25050.0,0.3047105788423154,0.13670658682634731,0.2930538922155689,0.1849500998003992,0.08057884231536926
강남구,대치2동,40176.0,0.22759856630824374,0.1922167463162087,0.24481033452807646,0.23669603743528475,0.09867831541218638
강남구,대치4동,20444.0,0.17887888867149285,0.25665231852866366,0.2961504597926042,0.18296321659166503,0.08535511641557425
강남구,도곡1동,22339.0,0.1959353596848561,0.22051121357267559,0.2571959353596849,0.21695241505886567,0.10940507632391781
강남구,도곡2동,34129.0,0.2323390664830496,0.17940754197310205,0.26158106009551996,0.21147704298397257,0.11519528846435582
강남구,삼성1동,14505.0,0.17542226818338505,0.22278524646673561,0.24912099276111685,0.2232678386763185,0.129403653912444
강남구,삼성2동,29032.5,0.20799104451907346,0.21463876689916472,0.3151812623783691,0.16414363213639888,0.09804529406699389
강남구,세곡동,44761.0,0.22373271374634168,0.1923884631710641,0.27098366881883784,0.1896628761645182,0.12323227809923817
강남구,수서동,16301.0,0.0974786822894301,0.20869885283111467,0.19342371633642108,0.2744923624317527,0.22590638611128153
강남구,신사동,17185.5,0.17308195862791306,0.22001105583195135,0.2649035524133717,0.18890925489511506,0.15309417823164878
강남구,압구정동,27120.5,0.20200586272376983,0.17925554469865967,0.26776792463265797,0.1913681532420125,0.15960251470290002
강남구,역삼1동,34333.5,0.08321318828549376,0.37202732025572693,0.29177042829889177,0.16163513769350635,0.09135392546638123
강남구,역삼2동,35420.0,0.23811405985319029,0.190527950310559,0.32371541501976286,0.1587803500846979,0.08886222473178995
강남구,일원1동,16709.0,0.1444131904961398,0.22565683164761505,0.21877431324435934,0.248039978454725,0.16311568615716082
강남구,일원2동,16288.0,0.17592706286836934,0.18618000982318272,0.25782784872298625,0.22479739685658154,0.15526768172888017
강남구,일원본동,24684.0,0.2456246961594555,0.17211554043104846,0.27120807000486147,0.21556473829201103,0.09548695511262356
강남구,청담동,29027.5,0.17970889673585394,0.22292653518215486,0.26836620446128673,0.20720006890018086,0.12179829472052364
강동구,강일동,32993.5,0.24372982557170353,0.16485065240123054,0.2562474426781033,0.20873808477427372,0.12643399457468896
강동구,고덕1동,27195.5,0.25119964700042285,0.17453255134121454,0.29050762074607933,0.1967972642532772,0.08696291665900609
강동구,고덕2동,7552.5,0.12724263488910956,0.18609731876861965,0.20940086064217148,0.30122476001324067,0.17603442568685865
강동구,길동,47790.0,0.14491525423728813,0.23322870893492362,0.23994559531282694,0.24726930320150659,0.1346411383134547
강동구,둔촌1동,899.5,0.16008893829905502,0.24680377987770985,0.21345191773207337,0.282934963868816,0.09672040022234575
강동구,둔촌2동,28120.0,0.17624466571834993,0.21625177809388335,0.23597083926031295,0.245074679943101,0.12645803698435276
강동구,명일1동,22111.0,0.19587535615756863,0.19793315544299217,0.2438379087332097,0.2374609922662928,0.12489258739993668
강동구,명일2동,17913.5,0.223351103916041,0.18354872023892596,0.23780947330225807,0.24621095821587072,0.10907974432690429
강동구,상일동,10094.5,0.18103917975134975,0.19822675714497995,0.21739561147159345,0.27406013175491606,0.12927831987716082
강동구,성내1동,20730.5,0.18120643496297725,0.21408070234678372,0.26135404355900727,0.21878391741636719,0.12457490171486457
강동구,성내2동,24742.5,0.11605537031423664,0.24763059512983732,0.24124482166313024,0.2471253915327877,0.14794382136000808
강동구,성내3동,23759.0,0.15831895281787953,0.22536722926049077,0.24878993223620524,0.23793088934719475,0.1295929963382297
강동구,암사1동,37115.5,0.15927307998006224,0.2127008931578451,0.2511753849469898,0.24012878716439223,0.1367218547507106
강동구,암사2동,14598.0,0.17423619673927934,0.2212631867379093,0.2617824359501302,0.21554322509932866,0.1271749554733525
강동구,암사3동,18745.0,0.22723392904774606,0.17484662576687116,0.27313950386769803,0.21403040810882903,0.1107495332088557
강동구,천호1동,28663.5,0.1414342281996267,0.21857065606084394,0.23275245521307586,0.2559875800233747,0.15125508050307881
강동구,천호2동,35143.5,0.12461763910822769,0.22881898501856673,0.24421301236359497,0.25213766414842004,0.15021269936119055
강동구,천호3동,27371.5,0.12264581773012075,0.24014029190946787,0.2364503224156513,0.2521052920008038,0.1486582759439563
강북구,미아동,22457.0,0.1196508883644298,0.23426993810393196,0.22373870062786658,0.25105757670214185,0.1712828962016298
강북구,번1동,19174.0,0.11453009283404611,0.24348075518931886,0.2431939084176489,0.23226765411494732,0.1665275894440388
강북구,번2동,17369.0,0.1328804191375439,0.18679831884391732,0.23043928838735678,0.24514940411077207,0.2047325695204099
강북구,번3동,18864.0,0.15285729431721798,0.16189567430025445,0.23351357082273114,0.2252703562340967,0.22646310432569974
강북구,삼각산동,33118.0,0.2410622622139018,0.1544326348209433,0.29868953439217344,0.19232743523159612,0.11348813334138536
강북구,삼양동,27033.5,0.15671296724434497,0.1886548171712875,0.23581852146410934,0.2503375441581741,0.16847614996208407
