자치구,행정동,전체독거노인비율,국민기초생활보장수급권자비율,저소득노인비율,일반독거노인비율
강남구,개포1동,0.04378863703267589,0.005961142184280247,0.002428613482484545,0.0353988813659111
강남구,개포2동,0.02160794941282746,0.0014453477868112015,0.00043360433604336043,0.0197289972899729
강남구,개포4동,0.020658311527337832,0.004517284120644539,0.0009915989533122158,0.015149428453381077
강남구,논현1동,0.022523618824258247,0.0026992942009425405,0.0004867579706617696,0.01933756665265394
강남구,논현2동,0.020327577747143624,0.002476693380686465,0.0005607607654384448,0.017290123601018715
강남구,대치1동,0.006626746506986028,3.9920159680638724e-05,,0.006586826347305389
강남구,대치2동,0.011997212266029471,0.0004978096375945838,0.00034846674631620867,0.011150935882118677
강남구,대치4동,0.016141655253375072,0.0020054783799647816,0.0005869692819409117,0.01354920759146938
강남구,도곡1동,0.015667666412999687,0.0009400599847799812,0.00017905904471999642,0.01454854738349971
강남구,도곡2동,0.014855401564651762,0.00011720237920829793,0.00011720237920829793,0.014620996806235166
강남구,삼성1동,0.017924853498793518,0.0012409513960703205,0.0003447087211306446,0.016339193381592555
강남구,삼성2동,0.016188753982605702,0.0017566520278997676,0.0001722207870489968,0.014259881167656936
강남구,세곡동,0.018676973257970107,0.003864971738790465,0.0012287482406559281,0.013583253278523715
강남구,수서동,0.07576222317649224,0.031041040426967672,0.0057665173915710695,0.0389546653579535
강남구,신사동,0.023624567222367693,0.0015710919088766694,0.0004073201245235809,0.021646155188967443
강남구,압구정동,0.025147029000202797,0.000553087148098302,7.374495307977361e-05,0.024520196899024724
강남구,역삼1동,0.02032999839806603,0.0022135814874685075,0.00037863893864592893,0.017737777971951592
강남구,역삼2동,0.01383399209486166,0.0009599096555618294,0.000282326369282891,0.01259175607001694
강남구,일원1동,0.04045723861392064,0.01184990125082291,0.004129511041953438,0.024477826321144293
강남구,일원2동,0.042485265225933204,0.011296660117878193,0.005586935166994106,0.025601669941060903
강남구,일원본동,0.015678172095284396,0.000445632798573975,8.102414519526819e-05,0.015151515151515152
강남구,청담동,0.017776246662647488,0.0009990526225131342,0.00027560072345189906,0.016501593316682456
강동구,강일동,0.01570006213345053,0.004303878036582963,0.0019094670162304696,0.009486717080637095
강동구,고덕1동,0.012575609935467264,0.002279788935669504,0.001176665257119744,0.009119155742678017
강동구,고덕2동,0.05415425355842436,0.01641840450182059,0.005296259516716319,0.03243958953988745
강동구,길동,0.02665829671479389,0.004101276417660599,0.0010462439840970914,0.0215107763130362
강동구,둔촌1동,0.09672040022234575,0.0022234574763757642,0.0011117287381878821,0.0933852140077821
강동구,둔촌2동,0.026564722617354198,0.00344950213371266,0.0015647226173541964,0.02155049786628734
강동구,명일1동,0.024331780561711366,0.0030301659807335716,0.000994979874270725,0.02030663470670707
강동구,명일2동,0.014570017026265107,0.001395595500600106,0.0008373573003600636,0.012337064225304938
강동구,상일동,0.028332260141661302,0.005052256179107434,0.00128783000643915,0.021992173956114715
강동구,성내1동,0.019825860447167217,0.0021707146475000603,0.00038590482622223295,0.017269240973444924
강동구,성내2동,0.03827422451247853,0.007881176113973931,0.0017783166616146308,0.028614731736889967
강동구,성내3동,0.027484321730712573,0.004082663411759754,0.0013047687192221894,0.022096889599730628
강동구,암사1동,0.03332839379773949,0.008918106990340962,0.0017782328137839986,0.022632053993614527
강동구,암사2동,0.02219482120838471,0.002192081107000959,0.0006165228113440197,0.019386217290039733
강동구,암사3동,0.014563883702320618,0.0011202987463323553,0.0006935182715390771,0.012750066684449186
강동구,천호1동,0.03945784708775969,0.008861443996720567,0.002232804786575261,0.028363598304463864
강동구,천호2동,0.042169960305604166,0.01078435557073143,0.0026178382915759673,0.028767766443296768
강동구,천호3동,0.041466488866156406,0.010777633670058273,0.002740076356794476,0.027948778839303655
강북구,미아동,0.05022932715856971,0.009039497706728414,0.004185777263214142,0.03700405218862715
강북구,번1동,0.04704287055387504,0.008970480859497237,0.003494315218525086,0.03457807447585272
강북구,번2동,0.050204387126489725,0.011687489204905291,0.01007542172836663,0.028441476193217803
강북구,번3동,0.05364715860899067,0.01722858354537744,0.012510602205258695,0.023907972858354536
강북구,삼각산동,0.02563560601485597,0.00779032550274775,0.002687360347847092,0.015157920164261127
강북구,삼양동,0.05208352599552407,0.011652209295873638,0.004106016609022139,0.036325300090628294
강북구,송중동,0.04618921554967256,0.007663369095722447,0.004249686498536993,0.034276159955413124
강북구,송천동,0.05787781350482315,0.011533622256395917,0.004263945197819097,0.04208024605060814
강북구,수유1동,0.05196777905638665,0.00994246260069045,0.004695051783659378,0.037330264672036824
