자치구,행정동,혼인,이혼
서초구,서초4동,96,26
서초구,양재1동,303,77
서초구,양재2동,145,41
서초구,잠원동,173,48
성동구,금호1가동,129,30
성동구,금호2.3가동,153,30
성동구,금호4가동,110,27
성동구,마장동,137,53
성동구,사근동,81,13
성동구,성수1가1동,137,17
성동구,성수1가2동,101,29
성동구,성수2가1동,117,54
성동구,성수2가3동,97,23
성동구,송정동,54,39
성동구,옥수동,189,46
성동구,왕십리2동,124,26
성동구,왕십리도선동,155,45
성동구,용답동,73,36
성동구,응봉동,83,27
성동구,행당1동,90,23
성동구,행당2동,170,32
성북구,길음1동,137,40
성북구,길음2동,50,31
성북구,돈암1동,87,38
성북구,돈암2동,77,23
성북구,동선동,74,23
성북구,보문동,113,33
성북구,삼선동,120,50
성북구,석관동,138,77
성북구,성북동,115,25
성북구,안암동,90,18
성북구,월곡1동,126,33
성북구,월곡2동,86,29
성북구,장위1동,89,56
성북구,장위2동,52,38
성북구,장위3동,41,28
성북구,정릉1동,98,31
성북구,정릉2동,87,46
성북구,정릉3동,65,36
성북구,정릉4동,107,39
성북구,종암동,167,63
송파구,가락1동,21,5
송파구,가락2동,141,39
송파구,가락본동,228,48
송파구,거여1동,58,25
송파구,거여2동,70,40
송파구,마천1동,80,67
송파구,마천2동,45,43
송파구,문정1동,328,45
송파구,문정2동,307,56
송파구,방이1동,86,32
송파구,방이2동,153,38
송파구,삼전동,260,74
송파구,석촌동,292,52
송파구,송파1동,242,56
송파구,송파2동,68,22
송파구,오금동,178,56
송파구,오륜동,25,5
송파구,위례동,65,22
송파구,잠실2동,118,31
송파구,잠실3동,95,40
송파구,잠실4동,139,20
송파구,잠실6동,69,10
송파구,잠실7동,27,4
송파구,잠실본동,233,56
송파구,장지동,173,49
송파구,풍납1동,98,38
송파구,풍납2동,106,37
양천구,목1동,153,38
양천구,목2동,208,49
양천구,목3동,166,34
양천구,목4동,87,54
양천구,목5동,93,31
양천구,신월1동,156,64
양천구,신월2동,95,34
양천구,신월3동,72,54
양천구,신월4동,56,33
양천구,신월5동,79,24
양천구,신월6동,24,13
양천구,신월7동,91,43
양천구,신정1동,74,26
양천구,신정2동,42,20
양천구,신정3동,169,87
양천구,신정4동,209,64
양천구,신정6동,75,26
양천구,신정7동,108,49
영등포구,당산1동,207,38
영등포구,당산2동,281,42
영등포구,대림1동,77,34
영등포구,대림2동,72,32
영등포구,대림3동,155,46
영등포구,도림동,138,43
영등포구,문래동,243,39
영등포구,신길1동,132,31
영등포구,신길3동,79,24
영등포구,신길4동,32,20
영등포구,신길5동,36,18
영등포구,신길6동,138,30
영등포구,신길7동,63,22
영등포구,양평1동,236,32
영등포구,양평2동,269,30
영등포구,여의동,143,45
영등포구,영등포동,243,62
영등포구,영등포본동,120,44
용산구,남영동,38,19
용산구,보광동,66,26
용산구,서빙고동,57,19
용산구,용문동,75,16
용산구,용산2가동,65,19
용산구,원효로1동,159,26
용산구,원효로2동,86,20
용산구,이촌1동,130,29
용산구,이촌2동,58,19
용산구,이태원1동,32,16
용산구,이태원2동,55,22
용산구,청파동,119,44
용산구,한강로동,151,31
용산구,한남동,134,44
용산구,효창동,67,9
용산구,후암동,108,32
은평구,갈현1동,165,52
은평구,갈현2동,106,60
은평구,구산동,138,60
은평구,녹번동,197,63
은평구,대조동,168,72
은평구,불광1동,220,80
은평구,불광2동,135,65
은평구,수색동,41,32
은평구,신사1동,155,48
은평구,신사2동,99,53
은평구,역촌동,250,104
은평구,응암1동,216,68
은평구,응암2동,80,22
은평구,응암3동,99,53
은평구,증산동,82,24
은평구,진관동,213,69
종로구,가회동,15,10
종로구,교남동,68,12
종로구,무악동,24,11
종로구,부암동,38,8
종로구,사직동,40,19
종로구,삼청동,11,3
종로구,숭인1동,50,9
종로구,숭인2동,52,22
종로구,이화동,49,12
종로구,종로1.2.3.4가동,35,32
종로구,종로5·6가동,22,10
종로구,창신1동,28,10
종로구,창신2동,29,25
종로구,창신3동,39,12
