자치구,행정동,전체세대수,1인세대비율,2인세대비율,3인세대비율,4인세대비율,5인세대비율,6인세대비율,7인세대비율,8인세대비율,9인세대비율,10세대이상비율
강남구,개포1동,5313.25,0.31015229222541135,0.2216941921924748,0.19347856773161437,0.2119857588732571,0.0505183581925689,0.008406656315186875,0.0026349221286406624,0.0006900986527392211,0.0004391536881067771,0.0
강남구,개포2동,4968.916666666667,0.23395441662334177,0.1760276384859208,0.22283529273651198,0.2971808073523739,0.05640062387844433,0.010800476294296207,0.001861572777433042,0.0007379207406040887,0.00020125111107384237,0.0
강남구,개포4동,7827.166666666667,0.37843621574430936,0.19045844601068926,0.1833358175585035,0.18808423652662734,0.04795264357047037,0.008240529778762004,0.0022890360496561125,0.0006600941166450185,3.1940037902178306e-05,0.0005110406064348529
강남구,논현1동,14114.416666666666,0.6455987672179155,0.1709835688096686,0.09336789216699237,0.0636878369043472,0.018509443653947206,0.005166112662584947,0.0016708684382989024,0.0005786046182095139,0.00027749405159027706,0.00015941147644547832
강남구,논현2동,11218.333333333334,0.520353587876987,0.188315257762591,0.14352250779973258,0.11132075471698112,0.027031644629326994,0.00687862130441242,0.00170108453424454,0.0007056900906254643,0.00017085128509879662,0.0
강남구,대치1동,7431.25,0.07707317073170732,0.12093075413512755,0.2590412111017662,0.42643117465657415,0.09188673955705075,0.017089991589571068,0.00511354079058032,0.0013680964395850854,0.000863470703672554,0.00020185029436501262
강남구,대치2동,13546.166666666666,0.18219176396766615,0.15196796141589874,0.2402893807596245,0.3413265745536868,0.06725764976561635,0.012094442462197178,0.003851027966091268,0.0006336355918648573,0.0003691081117659363,1.8455405588296813e-05
강남구,대치4동,10147.583333333334,0.5093166681722249,0.1634461407067364,0.1391135820515558,0.14537944173900189,0.03255290668549983,0.008113590263691683,0.0017163364019347792,0.00022172766914946908,9.033349483867258e-05,4.9272815366548685e-05
강남구,도곡1동,8521.916666666666,0.28933240761565765,0.17700439063982087,0.21225663240859355,0.24963085377898167,0.054438066553885577,0.012135376431358362,0.0034127690366994906,0.00119300235666859,0.00044982056071110767,0.0001466806176231873
강남구,도곡2동,11969.5,0.1899619867162371,0.18982970605845412,0.24975284403414233,0.29619727919573363,0.05947059888327277,0.011118537393653314,0.0028962501914588466,0.00043861481264881574,0.00016012921731623433,0.0001740534970828634
강남구,삼성1동,5851.75,0.3230942310704775,0.1997835405363068,0.19712051950271287,0.20855584511755743,0.05019865852095527,0.015180643966904486,0.0038022813688212928,0.001566482960937611,0.0006550746927557284,4.272226257102576e-05
강남구,삼성2동,13030.75,0.4261394521932097,0.16752681158030044,0.17341672582161427,0.18032346564856205,0.039074241058010224,0.009356074413726507,0.003044081627432547,0.0007034642416335719,0.00015987823673490272,0.00025580517877584434
강남구,세곡동,17261.666666666668,0.3078787293617843,0.20531524572752727,0.18749637926040358,0.20530076276914164,0.0697161340156416,0.018359563580187314,0.004620063725016896,0.0008786328087283962,0.0002896591677126581,0.00014482958385632905
강남구,수서동,7853.75,0.39568146851291847,0.29172900419120373,0.1739190407979203,0.1034643747678922,0.025126001379383523,0.007321343307337259,0.0016446495835322828,0.000668470475887315,0.0003183192742320548,0.0001273277096928219
강남구,신사동,7569.25,0.389129262036089,0.20533738481355485,0.17392740363972653,0.17302462815558567,0.04170382358445905,0.01031586132487807,0.003071638537503716,0.0020147306536314694,0.0010679173409959156,0.0004073499135757616
강남구,압구정동,10716.666666666666,0.2744012441679627,0.2157153965785381,0.22614307931570762,0.2170062208398134,0.05022550544323484,0.011391912908242614,0.003506998444790047,0.0007698289269051323,0.0005832037325038881,0.00025660964230171077
강남구,역삼1동,22862.166666666668,0.6977101907809845,0.14857880195082124,0.07903887791329196,0.05365487377253541,0.014769670416189776,0.004169916820365523,0.0012939864259001407,0.0006160104393721796,0.00016767148053917317,0.0
강남구,역삼2동,14914.75,0.3890835135240841,0.15152226263709861,0.18703520564094828,0.21679880655056236,0.04230711208702794,0.009163188566128608,0.002374606793051621,0.0007878107242830085,0.0003184766757739821,0.0006090168010414747
강남구,일원1동,7578.166666666667,0.396226000131958,0.22906815632628824,0.1788471266137368,0.14398821174866394,0.04080802304867052,0.008577272427368096,0.0018694055290417646,0.00046185313070443596,0.00014295454045613494,1.099650311201038e-05
강남구,일원2동,6526.5,0.3039914195970275,0.23737838044893894,0.20954314461554174,0.1997369697898312,0.04052708189688194,0.006971577415153605,0.0015066779029086546,0.00016598993845603818,2.5536913608621262e-05,0.00015322148165172758
강남구,일원본동,8309.083333333334,0.18371460951368482,0.17273265201737054,0.24224493275431502,0.3227692585423582,0.06273255172552127,0.01184446740013439,0.0026075880813166315,0.0008223931641075529,0.00041119658205377644,0.00012035021913769067
강남구,청담동,12215.666666666666,0.35629792343165884,0.19171419215761182,0.1967214233088657,0.19062269762872816,0.04630665538788987,0.012559008922967773,0.0034040985619559587,0.001439408409965345,0.0006890059213578192,0.00024558626899882663
강동구,강일동,11219.0,0.19391211337908904,0.2168196808984758,0.19805686781353063,0.2653682740588882,0.10272751582137446,0.01862168345366491,0.0036248031613037406,0.0005570906497905339,0.00022283625991621357,8.913450396648542e-05
강동구,고덕1동,9112.833333333334,0.1681054190976096,0.1796733544269071,0.24738006840170457,0.3178301662490627,0.06974596265340088,0.01330541178191927,0.0024324670336704646,0.000740713645591382,0.00022861532271338953,0.0005578213874206704
강동구,고덕2동,3544.5,0.42300277425118726,0.22501998401278978,0.17082804344759486,0.13520947947524334,0.03585367000517233,0.006253820473033338,0.0024921239479005035,0.0006582968918982462,0.00011755301641040109,0.0005642544787699252
